Key,Type,Desc,English (United States),Chinese
Robot Dialogues/Level-CN1-6,Text,,"Get to work, there is no time to lose!",快開工吧，我們可不能再浪費時間了！
Robot Dialogues/Level-CN2-1,Text,,Our new recipes have been so successful that I couldn't resist the call of my temptation circuits to try something new yet again!,我們的全新食譜大獲成功，我的電路也急不可耐，想再嘗試些新的事物。這誘惑，我完全無法抗拒！
Robot Dialogues/Level-CN2-2,Text,,"Today we have Dumplings in the menu, and we'll be selling them in servings of 11 units. 11 in binary at least, I think you might know that particular number as 3.",今天我們的菜單會加入餃子，每11個餃子為一份。是說二進制的11啦，你大概也知道，這個數字其實就是3。
Robot Dialogues/Level-CN2-3,Text,,Keep in mind that Dumplings need to be cooked using the Food Steamer and not any other methods!,別忘了，餃子要使用食品蒸制機製作，不要錯用了別的方法哦！
Robot Dialogues/Level-CN2-4,Text,,"Are you ready to assemble, steam and package? I hope so! Pay close attention to the recipe, it can be tricky to get it right!",準備好組裝、蒸制、打包了嗎？希望如此！一定要仔細留意食譜，這次還是有一定難度的哦！
Robot Dialogues/Level-CN3-1,Text,,"Oriental cuisine seems to be experiencing a boom in popularity lately, according to some human subject research I have been performing.",我對一些人類進行調研取得的數據顯示，來自東方的菜肴最近似乎特別受歡迎。
Robot Dialogues/Level-CN3-2,Text,,"They all volunteered to help me, don't look at me like that! Well, after using my sharp persuasion skills, that is.",別這麼看着我，他們都是自願參與調研的好嘛！唔，反正一用上我鋭利的說服技巧，他們就都自願參與了。
Robot Dialogues/Level-CN3-3,Text,,"Anyway, today we'll be serving Kung Pao Chicken and Dumplings. Be careful not to mix the take-out and the restaurant orders, as we'll be accepting both types of customers.",扯遠了。今天，我們要製作的是宮保雞丁和餃子。今天我們會服務餐館和外賣兩個類型的顧客，可別把訂單弄混了。
Robot Dialogues/Level-CN3-4,Text,,What a glorious day to cook some delicious Asian meals! Don't you agree? My taste receptors are generating saliva at the thought!,今天真是適合烹飪亞洲菜肴的一天！你不覺得嗎？光是想到這裡，我的味覺接收器就開始產生唾液了呢！
Robot Dialogues/Level-S1-1,Text,,"Finally, you’re here!",你終於來了！
Robot Dialogues/Level-S1-2,Text,,"I thought I should try my own kitchen layout… I think you’ll agree it looks wonderful, but there’s a flaw in its design!",我想試試我自己的廚房佈局...你一定覺得看起來很棒，但其實設計上有一個缺陷！
Robot Dialogues/Level-S1-3,Text,,Please help me? Can you fix it and show me the errors of my ways?,能不能幫幫我？能不能幫我修復缺陷，讓我看看自己到底錯在哪裡？
Robot Dialogues/Level-S2-1,Text,,WHO’S THERE?! I’LL EXTERMINATE ON SIGHT!,什麼人？！報上名來，不然格殺勿論！
Robot Dialogues/Level-S2-2,Text,,"Oh! It’s you… My apologies, fellow human!",啊！是你啊...抱歉了，人類同伴！
Robot Dialogues/Level-S2-3,Text,,"The power constraints here at the beach are literally grinding my gears… I’ve tried to make an efficient layout myself, but it keeps causing a blackout!",沙灘這裡的電力限制真是氣得我齒（輪）根癢癢...我自己也試過能不能做一套高效率的佈局，結果總是搞到停電！
Robot Dialogues/Level-S2-4,Text,,Can you fix it for me please? ,能不能幫我解決一下？
Robot Dialogues/Level-S3-1,Text,,"I have designed this kitchen, but it’s especially… ‘flammable’ at the moment. I’ve tried my best to fight the many fires that seem inevitable here…",這個廚房是我設計的，但目前的樣子特別...''易燃''。看來火災不可避免，我已經盡力在撲救了...
Robot Dialogues/Level-S3-2,Text,,"I can’t bear to get the emergency services involved! They ask too many questions… “Where did you get this technology?!”, “That’s not safe for civilians!” Blah blah blah!",我可不能把緊急救援署的人扯進來！他們的問題太多了...''你從哪兒搞來的這種科技？！''，還有''這樣存在安全隱患！''，廢話一大堆。
Robot Dialogues/Level-S3-3,Text,,You have an excellent grasp of kitchen layouts… can you make the necessary changes to prevent the fires? Please?,你對廚房佈局的掌控這麼厲害...能不能做些調整，防止火災呢？拜託了！
Robot Dialogues/Level-S3-4,Text,,"Do this for me, and I’ll make sure to spare you... I mean, be sure to thank you!",幫我辦好這件事，到時候我就饒你一命...啊，我是說，到時候我就好好謝謝你！
Robot Dialogues/Level-S4-1,Text,,I’ve been trying to maximise a menu based on what’s possible with a humble hot dog…,我一直想搞個完全基於簡單熱狗的菜單，能搞多少菜品就搞多少菜品...
Robot Dialogues/Level-S4-2,Text,,"I have three types of hot dog here, but I’ve realised they can also be combined into the Hot Dog Sampler meal!",我這裡有三種熱狗，但我發現，還可以把他們組到一起，形成熱狗薈萃套餐！
Robot Dialogues/Level-S4-3,Text,,Can you configure this kitchen so that it makes a Hot Dog Sampler Meal as well as the different Hot Dog types? All within my budget of course!,能不能把這個廚房弄成既能產出熱狗薈萃套餐，又能單獨產出各個不同熱狗種類的樣子？當然，要維持在我的預算之內哦！
Robot Dialogues/Level-S4-4,Text,,I do appreciate the irony of watching a human inadvertently engineer the downfall of a civilisation!,我最喜歡看一個人類在無意之中造成了整個文明的末日，這種諷刺真是太妙啦！
Robot Dialogues/Level-S4-5,Text,,Did I say that out loud? My circuits are all over the place today!,我剛才是不是大聲說出來了？今天我的電路真是太亂來啦！
Robot Dialogues/Level-S5-1,Text,,"So I just need to connect this… er… No, wait… Yes, that arm connects to… no… Hmmmm, Got it! Wait. No… The… er… ",所以我要把這個連到...呃...不對，等一下...沒錯，那個機械臂要連到...不對...唔，好了！等一下。不對...那個...呃...
Robot Dialogues/Level-S5-2,Text,,"Good, you’re here! I was trying to get this kitchen up and running before the customers started arriving! ",啊，你來了，太好了！我正打算在顧客出現之前讓這個廚房開動起來呢！
Robot Dialogues/Level-S5-3,Text,,"But I can’t quite get it right, maybe I should stick to planning global domination, am I right? ",但我說什麼就是弄不對，也許我還是專心搞制霸全球的事比較好，你說呢？
Robot Dialogues/Level-S5-4,Text,,"I accept that your human brain is better than my human brain at planning these kitchens, maybe I should just leave everything up to you!",我承認，你的人類大腦確實比我的人類大腦更擅長對這些廚房進行規劃，也許還是把一切都交給你去做比較好！
Robot Dialogues/Level-TG1-1,Text,,"Hello again, fellow human! I have a new and exciting challenge for you today!",你好啊，人類夥伴！今天我為你準備了一個刺激的新挑戰！
Robot Dialogues/Level-TG1-2,Text,,"From what I’ve gathered some of the local communities have a strange celebration every year, in which they are forced to eat enormous amounts of food!",從我收集的情報來看，本地部分社區每年都會舉辦一次奇怪的慶典；在此期間，他們被迫要吃掉大量的食物！
Robot Dialogues/Level-TG1-3,Text,,"I think it’s something related to turkeys and pilgrims, but it doesn’t matter. What does matter is the brilliant business opportunity that’s in front of us!",我覺得這與夥計和朝聖有關，不過沒關係。重要的是擺在我們面前的絕佳商業機會！
Robot Dialogues/Level-TG1-4,Text,,"We’ll be adding two new dishes to the menu today: Pumpkin Pie and Cornbread, as a little test run of a new machine I have been able to source: the Oven!",今天我們要向菜單中加兩道菜：南瓜派和玉米麵包，以此來測試下我剛買的一台新機器：烤箱！
Robot Dialogues/Level-TG1-5,Text,,"Ovens allow you to create exciting new dishes, but they can only cook one food item at once, and they are extremely slow, so plan accordingly. Good luck!",烤箱可以讓你烹制新的美味佳肴，但每次只能做一道菜，而且速度極慢，所以請仔細規劃。祝你好運！
Robot Dialogues/Level-TG2-1,Text,,Welcome back! Our last experiment involving the new recipes and the Oven went so smoothly that I’ve secured some additional funds to expand this location.,歡迎回來！我們上次對新配方和烤箱的實驗一切順利，所以我多搞了點資金，打算把這裡擴建下。
Robot Dialogues/Level-TG2-2,Text,,Now we’ll be serving our most complicated dish yet: the Roast Turkey. I’ve heard that humans like us go crazy for this particular bird at this time of the year…,現在我們將為顧客獻上最複雜的美食：烤火雞。我聽說每年在這個時候，像我們這樣的人類特別喜歡這種鳥。
